"タイムスタンプ","ゲーム内であなたに割り当てられた役割は出品者ですか？　受け手ですか？","出品者として物語を提示されたときどんな気持ちでしたか？　当てはまるものをすべて選んでください。","今回のゲームの結果に出品者として納得していますか","前の質問で「納得していない」「あまり納得していない」と回答した方にお聞きします。どんなところに納得できませんでしたか","受け手の物語は共感できるものでしたか 。あなたが衣服を渡した相手グループの物語についてのみ答えてください","受け手の物語は「論理的に」理解できるものでしたか。あなたが衣服を渡した相手グループの物語についてのみ答えてください","受け手として物語を提示するときどんな気持ちでしたか？　当てはまるものをすべて選んでください。","今回のゲームの結果に受け手として納得していますか","前の質問で「納得していない」「あまり納得していない」と回答した方にお聞きします。どんなところに納得できませんでしたか","出品者の物語は共感できるものでしたか ","出品者の物語は「論理的に」理解できるものでしたか"
"2022/01/31 5:13:33 午後 GMT+9","受け手","","","","","","戸惑い;不安","ある程度納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:13:42 午後 GMT+9","受け手","","","","","","驚き;戸惑い;楽しい","納得している","","とても共感できた","少し理解できた"
"2022/01/31 5:13:50 午後 GMT+9","受け手","","","","","","驚き;戸惑い;不安;楽しい","ある程度納得している","","とても共感できた","少し理解できた"
"2022/01/31 5:14:06 午後 GMT+9","受け手","","","","","","不安;楽しい","納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:14:28 午後 GMT+9","受け手","","","","","","不安;緊張","納得している","","少し共感できた","とてもよく理解できた"
"2022/01/31 5:14:37 午後 GMT+9","出品者","楽しい","納得している","","とても共感できた","とてもよく理解できた","","","","",""
"2022/01/31 5:14:48 午後 GMT+9","受け手","","","","","","不安;楽しい","ある程度納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:14:49 午後 GMT+9","受け手","","","","","","不安","ある程度納得している","","少し共感できた","少し理解できた"
"2022/01/31 5:15:01 午後 GMT+9","受け手","","","","","","不安","ある程度納得している","","少し共感できた","とてもよく理解できた"
"2022/01/31 5:15:33 午後 GMT+9","受け手","","","","","","不安;楽しい","納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:17:12 午後 GMT+9","受け手","","","","","","不安;楽しい;恥ずかしい;うれしい","ある程度納得している","","とても共感できた","少し理解できた"
"2022/01/31 5:17:18 午後 GMT+9","受け手","","","","","","戸惑い;楽しい","ある程度納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:17:39 午後 GMT+9","受け手","","","","","","不安;楽しい","納得している","","少し共感できた","少し理解できた"
"2022/01/31 5:17:39 午後 GMT+9","受け手","","","","","","戸惑い;不安;楽しい;恥ずかしい","納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:17:43 午後 GMT+9","出品者","驚き;戸惑い;不安","納得している","","とても共感できた","とてもよく理解できた","","","","",""
"2022/01/31 5:17:44 午後 GMT+9","受け手","","","","","","不安;恥ずかしい;うれしい","納得している","","とても共感できた","とてもよく理解できた"
"2022/01/31 5:18:00 午後 GMT+9","受け手","","","","","","楽しい;うれしい","納得している","","少し共感できた","とてもよく理解できた"
"2022/01/31 5:18:11 午後 GMT+9","出品者","驚き;楽しい;恥ずかしい;うれしい","納得している","","とても共感できた","とてもよく理解できた","","","","",""
"2022/01/31 5:19:49 午後 GMT+9","受け手","","","","","","楽しい;誇らしい","ある程度納得している","","とても共感できた","少し理解できた"
"2022/01/31 5:20:52 午後 GMT+9","受け手","","","","","","不安","ある程度納得している","","とても共感できた","とてもよく理解できた"